name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
Corsair Vengeance RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.0,36.0
G.Skill Flare X5 32 GB,89.99,"5,6000","2,16",2.812,Black,12.0,36.0
Corsair Vengeance LPX 16 GB,45.99,"4,3200","2,8",2.874,Black / Yellow,10.0,16.0
Corsair Vengeance 32 GB,129.99,"5,6000","2,16",4.062,Black / Gray,10.0,30.0
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",3.093,Black,10.0,30.0
Corsair Vengeance LPX 32 GB,77.98,"4,3600","2,16",2.437,Black / Yellow,10.0,18.0
Crucial Pro Overclocking 32 GB,84.99,"5,6000","2,16",2.656,Black,12.0,36.0
G.Skill Trident Z5 RGB 64 GB,234.99,"5,6400","2,32",3.672,Black / Silver,10.0,32.0
Corsair Vengeance RGB 64 GB,229.99,"5,6000","2,32",3.594,Black,10.0,30.0
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",3.312,White,10.0,30.0
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6000","2,16",3.75,Black,10.0,30.0
Patriot Viper Venom 32 GB,85.99,"5,6000","2,16",2.687,Black / White,10.0,30.0
Corsair Vengeance RGB Pro 32 GB,115.0,"4,3600","2,16",3.594,Black,10.0,18.0
Corsair Vengeance RGB 32 GB,95.99,"5,6000","2,16",3.0,White / Silver,12.0,36.0
Silicon Power GAMING 16 GB,32.97,"4,3200","2,8",2.061,Black / Gray,10.0,16.0
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.437,Black,10.0,16.0
Corsair Vengeance LPX 32 GB,71.98,"4,3200","2,16",2.249,Black / Yellow,10.0,16.0
Kingston FURY Beast 32 GB,122.99,"5,6000","2,16",3.843,Black,10.0,30.0
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"5,6000","2,32",3.25,Black / Silver,10.0,30.0
G.Skill Ripjaws V 32 GB,71.98,"4,3200","2,16",2.249,Black,10.0,16.0
G.Skill Flare X5 32 GB,109.99,"5,6000","2,16",3.437,Black,10.0,30.0
Kingston FURY Beast 16 GB,62.93,"5,5200","2,8",3.933,Black,15.385,40.0
Corsair Vengeance RGB Pro 16 GB,54.99,"4,3200","2,8",3.437,Black,10.0,16.0
Silicon Power Value Gaming 32 GB,90.97,"5,6000","2,16",2.843,Black,10.0,30.0
Corsair Vengeance 64 GB,156.28,"5,5200","2,32",2.442,Black,15.385,40.0
G.Skill Flare X5 64 GB,193.98,"5,6000","2,32",3.031,Black,10.0,30.0
TEAMGROUP T-Force Vulcan 32 GB,96.99,"5,6000","2,16",3.031,Black,10.0,30.0
Silicon Power GAMING 32 GB,60.99,"4,3200","2,16",1.906,Black,10.0,16.0
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.906,Gray,10.0,30.0
Patriot Viper Venom 32 GB,76.99,"5,6000","2,16",2.406,Black / White,12.0,36.0
Corsair Dominator Titanium 64 GB,286.44,"5,6600","2,32",4.476,White,9.697,32.0
G.Skill Ripjaws V 64 GB,1351.9,"4,3200","4,16",21.123,Black,8.75,14.0
Crucial Pro Overclocking 32 GB,89.99,"5,6000","2,16",2.812,White,12.0,36.0
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"5,6000","2,16",4.687,Silver,9.333,28.0
Corsair Vengeance 64 GB,199.99,"5,6000","2,32",3.125,Black / Gray,10.0,30.0
G.Skill Trident Z RGB 32 GB,82.99,"4,3600","2,16",2.593,Black,10.0,18.0
Kingston FURY Beast 16 GB,78.61,"4,3200","2,8",4.913,Black,10.0,16.0
G.Skill Ripjaws V 16 GB,45.99,"4,3200","2,8",2.874,Black,10.0,16.0
Crucial Classic 16 GB,43.99,"5,5600","2,8",2.749,Black,16.429,46.0
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.718,White,10.0,30.0
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.437,Black,10.0,30.0
Corsair Vengeance LPX 64 GB,154.99,"4,3200","2,32",2.422,Black / Yellow,10.0,16.0
Crucial Pro 32 GB,82.99,"5,5600","2,16",2.593,Black,16.429,46.0
Kingston FURY Beast RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,10.0,30.0
Corsair Dominator Titanium 64 GB,306.23,"5,6600","2,32",4.785,Black,9.697,32.0
Crucial Pro 32 GB,78.98,"4,3200","2,16",2.468,Black,13.75,22.0
Patriot Venom 64 GB,157.99,"5,6000","2,32",2.469,Black,10.0,30.0
Crucial Pro 64 GB,139.99,"5,5600","2,32",2.187,Black,16.429,46.0
Corsair Vengeance 32 GB,109.99,"5,6000","2,16",3.437,Black,12.0,36.0
Corsair Vengeance RGB 192 GB,614.99,"5,5200","4,48",3.203,Black,14.615,38.0
G.Skill Ripjaws V 16 GB,49.99,"4,3600","2,8",3.124,Black,8.889,16.0
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",3.187,White,10.0,18.0
Kingston FURY Beast 32 GB,115.81,"4,3200","2,16",3.619,Black,10.0,16.0
Kingston FURY Beast 64 GB,233.99,"5,6000","2,32",3.656,Black,10.0,30.0
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8400","2,24",5.416,Black,9.524,40.0
